Band	Timecode	Sprecher	Transkript	Übersetzung	Hauptüberschrift	Zwischenüberschrift	Hauptüberschrift (Übersetzung)	Zwischenüberschrift (Übersetzung)	Registerverknüpfungen	Anmerkungen	Anmerkungen (Übersetzung)
1	00:01:50.04	IP_JA	Er kam als Siebzehnjähriger aus Masuren, aus Ostpreußen hierher, das ist ja schon bezeichnend dafür, dass das schöne Land Ostpreußen landschaftlich gesehen nicht in der Lage war, die Menschen, die da geboren wurden, auch zu ernähren.								
1	00:02:09.18	IP_JA	Und die Geschwister meines Vaters waren auch hier, aber in unterschiedlichen Berufen tätig.								
1	00:02:17.16	IP_JA	Bei uns war an und für sich immer Schmalhans Küchenmeister, und die damalige Situation war ja auch gegeben, dass man irgendwie sich politisch engagieren musste, denn die Arbeitsverhältnissie waren ja sehr schlecht.								
1	00:02:36.00	INT_AKE	Hm								
1	00:02:41.02	IP_JA	Ich kann mich erinnern, dass mein Vater zwölf Stunden Schichttag hatte, in – im Wechsel Tagschicht oder Nachtschicht, und wir wohnten begrenzt in zwei Räumen, einer Küche und dem Schlafzimmer, das dann erst, ähm, mit der Zeit überhaupt so möbliert wurde, dass wir ein vollständiges Elternschlafzimmer darin hatten.								
1	00:02:56.20	INT_AKE	Hm								
1	00:03:10.16	IP_JA	Zwei Metallbettstellen, in welchem mein etwas jüngerer Bruder schlief, in dem anderen Bett meine Schwester und ich, in dem einen Ehebett mein Vater und in dem anderen meine Mutter und der jüngste Bruder.								
1	00:03:12.05	INT_AKE	Hm.								
1	00:03:22.15	INT_AKE	Hm								
1	00:03:24.16	IP_JA	Aber was mir bis heute in, äh, unwandelbarer Erinnerung ist, dass bei uns eine Sauberkeit und eine Ordnung, wie man so sagt, im Haushalt vorhanden war, dass ich mich heute manchmal frage, wenn ich in Wohnungen komme, wo vier, fünf und sechs Räume sind, die Kinder ihre eigenen Zimmer haben, dass das manchmal nicht so klappt.								
1	00:03:49.20	INT_AKE	Hm								
1	00:03:50.05	IP_JA	Also bei uns war das eben anerzogen.								
1	00:03:51.05	INT_AKE	(???)								
1	00:03:52.23	IP_JA	Im, äh, im Kleiderschrank [laut] hatten meine Schwester und ich eine Schublade.								
1	00:03:53.18	INT_AKE	Ich glaub', auf (beengterem ?) Raum ist das (???)								
1	00:03:58.12	INT_AKE	Hm								
1	00:03:58.16	IP_JA	Unten waren drei Schubladen, eine gehörte uns, eine den Jungens und die andere hatte mein Vater, der hatte dann auch nebenberuflich Kassierungen übernommen, sagen wir mal, für die Volkswohl, war Lebens- und Sterbeversicherung und dann von der Gewerkschaft.								
1	00:04:12.22	INT_AKE	Hm								
1	00:04:15.12	IP_JA	Und dann war er in verschiedenen anderen, äh, [kurze Pause] Vereinen, sagen wir Sexualbund, Bund der Kinderreichen – es begann ja dann auch die Aufklärung unter den, äh, ärmeren Leuten, dass es nicht immer hieß wie bei den Christlichen:								
1	00:04:35.05	INT_AKE	Dass man die ganzen Kinder jetzt unbedingt haben müsse, ne? [Klirren]								
1	00:04:37.10	IP_JA	„Lieber zehn Kinder auf dem Kissen als eins auf dem Gewissen."								
1	00:04:40.24	INT_AKE	Hm								
1	00:04:41.05	IP_JA	Das sah man ja nur bei den unteren Schichten, bei den oberen, da blieb es ja bei ein und zwei Kindern, die mussten ja schon das Rezept entdeckt haben, wie nun man bei dieser Kleinehe, äh, Kleinfamilie bleibt.								
1	00:04:54.08	IP_JA	Also das ist mir in, in sehr guter Erinnerung, weil eben alles so begrenzt war, ne.								
1	00:05:00.15	IP_JA	Man hatte ja gar nicht die Möglichkeit, da irgendwie jetzt ausschweifig zu sein, das war ja nur immer alles auf die beiden Zimmer begrenzt.								
1	00:05:07.07	INT_AKE	Hm, natürlich, ja								
1	00:05:09.20	IP_JA	Gut, ich wurde dann ganz normal eingeschult 1925, war aber im ersten Jahr viel krank, Schienbeinentzündungen, dadurch konnt' ich gar nicht in die Schule gehen, und dann stellte sich eine Blutkrankheit ein, die über ...								
1	00:05:24.17	IP_JA	Ebenso bei meinem jüngeren Bruder, ich weiß aber bis heute nicht, was es war, es war aber eine sehr langwierige Geschichte, die durch das Gesundheitsamt beaufsichtigt wurde, und der behandelnde Arzt hieß so, wie ich heute heiße, Dr. Alexander – [amüsiert] war der Jude!								
1	00:05:42.00	INT_AKE	(???) [amüsiert]								
1	00:05:43.23	IP_JA	Und eben deshalb hab' ich eine ganz natürliche erklärliche Beziehung überhaupt zum Juden, zum jüdischen Menschen, schon von Kind an.								
1	00:05:54.04	INT_AKE	Hm								
1	00:05:56.12	IP_JA	Und dieser Arzt war aber auch, äh, [kurze Pause] dermaßen eingestellt, dass er das nicht nur bei den Behandlungen beließ, er schenkte meinem Bruder auch Bonbons, und wenn so Muttertag war oder Weihnachten, dann kriegten wir 'mal 50 Pfennig oder 'ne Mark.								
1	00:06:14.07	IP_JA	Dann sind wir nach EPA gegangen, mein Bruder und ich, und haben dann für das Geld für die Mutter entweder 'ne Glasschale oder so 'was gekauft.								
1	00:06:14.08	INT_AKE	Hm.								
1	00:06:20.23	INT_AKE	EPA?								
1	00:06:21.10	INT_AKE	(???)								
1	00:06:22.00	IP_JA	Einheitspreise.								
1	00:06:23.05	IP_JA	N E-H-P.								
1	00:06:24.10	IP_JA	Also ein ...								
1	00:06:24.17	INT_AKE	Ach so, hm								
1	00:06:25.05	IP_JA	Das war so wie heute Woolworth, so 'was ähnliches, ne.								
1	00:06:26.24	INT_AKE	Hm								
1	00:06:28.17	IP_JA	Gab 's ja auch, Woolworth, aber auch noch dieses EHP.								
1	00:06:30.15	INT_AKE	Hm								
1	00:06:33.10	IP_JA	Ja, und ich besuchte dann die Grundschule, da wir ja nicht religiös erzogen wurden, war ‘s die Freie Schule hier auch in Gelsenkirchen, die Fichteschule in der Florastraße, und obwohl ich so viel krank war, ähm, hatte das schulisch auf meine Leistung kaum negativen Einfluss, sodass ...								
1	00:06:43.10	INT_AKE	Hm.								
1	00:06:58.15	INT_AKE	Hm.								
1	00:06:59.02	INT_AKE	Und was ist mit der Blutkrankheit, war das weggegangen oder (???)								
1	00:07:01.07	IP_JA	Nein nein, nein nein.								
1	00:07:02.14	IP_JA	Das war nur, ne, mit den Schienbeinen das, da musst' ich ein halbes Jahr zuhause bleiben, ne.								
1	00:07:04.19	INT_AKE	Hm								
1	00:07:07.24	IP_JA	Das andere nicht, das ging, glaub' ich, bis 14 Jahre und danach hab' ich …								
1	00:07:12.18	IP_JA	Ja, dann musste ja Dr. Alexander, äh, fort, dann ist er ja plötzlich, hatte der Gelsenkirchen verlassen und von dem Zeitpunkt an wüsst' ich auch nicht, dass ich da noch daraufhin behandelt wurde.								
1	00:07:23.20	INT_AKE	Hm								
1	00:07:25.20	IP_JA	So, jetzt zurück.								
1	00:07:27.08	IP_JA	Die vier Grundscha... – -schuljahre hatt' ich dann hier in der Fichteschule absolviert und wurde dann von dem Klassenlehrer, vielmehr mein Vater …								
1	00:07:36.19	IP_JA	Meinem Vater wurde nahegelegt, ob ich nicht die höhere Schule besuchen soll, soll – könnte.								
1	00:07:42.10	INT_AKE	Hm								
1	00:07:43.13	IP_JA	Also von den Leistungen her wär' 's zu befürworten.								
1	00:07:47.10	IP_JA	Nun sprach ich ja schon vorhin, dass bei uns, äh, die Geldmittel sehr, sehr knapp be... bemessen waren, und durch dieses politische Engagement meines Vaters, der des Öfteren ausgesperrt worden ist, und das kann ich aber nicht im Einzelnen sagen, wie viel Einkünfte da war.								
1	00:08:04.02	INT_AKE	Hm								
1	00:08:11.15	IP_JA	Ich weiß nur, dass für uns also Brot mit Zucker und Kathreiner-Kaffee so übergeträufelt schon etwas Besonderes war.								
1	00:08:20.20	INT_AKE	Hm								
1	00:08:23.15	IP_JA	Dann gab 's Eintopf, [kurze Pause] ähm, zum Beispiel ist mir in Erinnerung die (Saatwei- ?)-Suppe, die Kartoffelsuppe, und die wurde dann, äh, gekocht mit Mehlklößchen drin, die Kartoffeln waren sämig gekocht, dann wurde das mit dem Schneebesen so aufgerührt, und in der Pfanne Fett ausgelassen mit Speck und Zwiebeln und dann wurde das so drüber gegossen, dann [freudig] zischte das so weg.								
1	00:08:48.22	INT_AKE	Hm.								
1	00:08:52.16	INT_AKE	Hm								
1	00:08:53.16	IP_JA	Also das war dann für uns mittags das Essen.								
1	00:08:57.02	INT_AKE	Hm								
1	00:08:57.23	IP_JA	Und der Vater, wenn der von der Arbeit kam, der machte vielleicht 'mal ein Stück Wurst oder 'was dazubekommen haben.								
1	00:09:04.03	IP_JA	Und dann war auch ein besonderes Gericht Stampfkartoffeln in 'ner großen Schüssel.								
1	00:09:10.18	IP_JA	Wir haben ja meist mittags zusammen gegessen, weil der Vater ja Zwölf-Stunden-Schicht hatte, und dann brachte meine Mutter mittags das Essen im Henkelmann zum Tor in der Hohenzollern Straße.								
1	00:09:16.02	INT_AKE	Entweder [kurze Pause] zurückkam oder hinging.								
1	00:09:20.05	INT_AKE	Ach so.								
1	00:09:22.14	INT_AKE	Ach so, hm								
1	00:09:23.00	IP_JA	Hinter dem Haupteingang ist so ein kleines Seitentor, ne, ist so ein kleines Tor in der Mauer, und da kamen dann die Arbeiter mittags Punkt zwölf.								
1	00:09:28.04	INT_AKE	Hm.								
1	00:09:31.00	INT_AKE	Hm								
1	00:09:31.14	IP_JA	Und die Frauen (???)								
1	00:09:32.12	INT_AKE	Die Frauen brachten das Essen								
1	00:09:33.10	IP_JA	Oder auch nachher, als ich erwachsen war und den Weg alleine gehen konnte, die Kinder, wenn sie nicht in der Schule waren, haben wir uns dann auch diese Arbeit geteilt.								
1	00:09:35.18	INT_AKE	Hm.								
1	00:09:41.17	INT_AKE	Hm								
1	00:09:42.18	IP_JA	So hatten wir mit den Kindern und der Mutter mittags zusammen gegessen.								
1	00:09:46.08	IP_JA	Wie gesagt, jetzt komm' ich noch 'mal auf den Kartoffelstampf zurück.								
1	00:09:50.03	IP_JA	Im Sommer war das besonders angebracht, dann gab 's Dickmilch oder Buttermilch dazu, die wurde dann aus dem Teller gelöffelt, und Kartoffelstampf ebenfalls abgebraten mit Speck, bisschen Butter und Zwiebeln.								
1	00:09:56.10	INT_AKE	Hm.								
1	00:10:05.00	INT_AKE	Hm								
1	00:10:05.08	IP_JA	Dann nahm man das so mit dem Löffel raus und dann mit Buttermilch dabei.								
1	00:10:08.18	INT_AKE	Ach so, ja								
1	00:10:09.02	IP_JA	War ganz hervorragend.								
1	00:10:10.10	INT_AKE	Hm.								
1	00:10:11.03	INT_AKE	(???) gut								
1	00:10:13.01	IP_JA	Ja, also wäre heute auch noch, tatsächlich.								
1	00:10:15.00	INT_AKE	Hm								
1	00:10:16.00	IP_JA	[räuspert sich]								
1	00:10:16.08	IP_JA	Ja, und wie gesagt, dann viel Eintopf und, äh, Fleisch nur sonntags und Wurst und dergleichen, also an solche Einzelheiten kann ich mich wirklich nicht erinnern.								
1	00:10:27.07	INT_AKE	(???)								
1	00:10:29.08	IP_JA	Und dann mit der Kleidung war ’s folgendermaßen:								
1	00:10:33.00	IP_JA	Der Vater meines Vaters war Schneidermeister in Ostpreußen.								
1	00:10:35.24	INT_AKE	Hm.								
1	00:10:37.24	INT_AKE	Der wohnte aber noch in Ostpreußen?								
1	00:10:39.05	IP_JA	Alle.								
1	00:10:39.12	IP_JA	Seine, seine Eltern sind dort geblieben.								
1	00:10:41.16	INT_AKE	Ah, nur die Kinder								
1	00:10:41.22	IP_JA	Vaters ...								
1	00:10:42.12	IP_JA	Nur die Kinder sind hergekommen.								
1	00:10:44.02	IP_JA	Geschwister, Schwestern und Brüder wohnten auch hier in Gelsenkirchen und in Wanne-Eickel.								
1	00:10:48.20	IP_JA	Und einer ist dann nach Kamp-Linford gezogen, später aber schon. [räuspert sich] [kurze Pause]								
1	00:10:56.04	IP_JA	Ähm, ach so, ja.								
1	00:10:58.16	IP_JA	Mein Großvater väterlicherseits war Schneidermeister, und mein Vater hatte viele Begabungen in sich, und eben durch die Notlage, in der wir waren, wurden die geweckt.								
1	00:11:06.02	INT_AKE	Hm								
1	00:11:13.06	IP_JA	So war mein Vater Schuster, Schneider, der hat draußen nichts liegen gelassen, der nahm das mit nach Hause, das wurde getrennt, gewaschen, kriegten meine Brüder Hosen davon oder 'ne Jacke, was so abzuändern war.								
1	00:11:13.10	INT_AKE	Hm								
1	00:11:27.22	IP_JA	Mein Vater nähte sogar die Puppenkleidung für meine Puppe, Gardinchen in der Puppenstube.								
1	00:11:33.02	IP_JA	Also es ist unwahrscheinlich mit den groben Händen, ne.								
1	00:11:35.24	INT_AKE	Hm.								
1	00:11:37.05	INT_AKE	Das hat er mit der Hand genäht (oder was ?) (???)								
1	00:11:38.15	IP_JA	Nein, mit der Maschine und mit einem Bein.								
1	00:11:38.22	INT_AKE	Mit der Maschine, O.K.								
1	00:11:41.00	IP_JA	Mit dem linken Bein.								
1	00:11:42.09	IP_JA	Ich hab' nachher mit der Maschine – ich will 'n bisschen vorgreifen – hab' ich dann nach dem Krieg, als ich dann 1948 hierher kam, hatte er die Maschine gerettet, und als Goldstück hab' ich dann nachher Heimarbeit darauf gemacht –								
1	00:11:52.08	INT_AKE	Hm								
1	00:11:57.13	IP_JA	1948 hier in Gelsenkirchen, aber das ist nur 'mal abschweifend. [kurze Pause]								
1	00:12:04.06	IP_JA	Ich glaube, jetzt wollen wir mit der Schule weitergehen:								
1	00:12:07.07	INT_AKE	Hm								
1	00:12:07.08	IP_JA	Ich hatte da die Prüfung gemacht, dass …								
1	00:12:10.07	IP_JA	Ich hätte wohl die Fähigkeiten gehabt, eine Oberschule, ein Lyzeum zu besuchen, aber das wäre finanziell von vornherein wäre das 'n Totlaufen gewesen.								
1	00:12:15.19	INT_AKE	Hm.								
1	00:12:18.14	INT_AKE	(???)								
1	00:12:19.17	INT_AKE	Hm								
1	00:12:22.20	IP_JA	Und hier in Gelsenkirchen war ein Modell angelaufen und zwar die Mittelschule.								
1	00:12:30.20	INT_AKE	Hm								
1	00:12:31.10	IP_JA	Ich gehörte dann zum dritten Jahrgang, vor mir waren bereits zwei Jahrgänge eingeschult, und meine Altersgruppe war jetzt die dritte Klasse.								
1	00:12:38.19	INT_AKE	Hm								
1	00:12:41.14	IP_JA	Und ich hatte mit noch einer Mitschülerin, wir hatten beide die Prüfung bestanden und besuchten nun die Mittelschule.								
1	00:12:48.00	IP_JA	Der damalige Preis pro Monat an Schulgeld war 15 Mark und dann zuzüglich, äh, die Lernmittel, alles, was man so braucht.								
1	00:12:59.01	IP_JA	Und das war natürlich sehr, sehr hart.								
1	00:12:59.05	INT_AKE	Hm								
1	00:13:03.21	IP_JA	Ähm, es blieb ja auch nicht nur dabei, denn man musste ja auch dementsprechend mit der Kleidung ein bisschen [kurze Pause] sich, äh, mithalten.								
1	00:13:15.06	IP_JA	Wenn ich auch nur zwei oder drei Kleider hatte, aber die waren immer dementsprechend in Ordnung, sodass ich mich erinnern kann, dass ich keinen, äh, darin keinen großen Abstand von meinen Mitschülerinnen hatte.								
1	00:13:17.20	INT_AKE	Hm.								
1	00:13:28.12	INT_AKE	Hm								
1	00:13:30.20	IP_JA	Und mit den Jahren, sagen wir 'mal von der Quarta, Untertertia an, stellte sich dann doch auch heraus, ob man mitging mit dem Pensum oder zurückblieb, sodass ich, äh, verschiedene Mitschülerinnen hatte und zwar aus, aus dem Mittelstand, weil der eine Vater war Obersteiger, der andere war bei der Bank, dann Gartenbaubetrieb in Buer, und die haben mich dann nachmittags eingeladen, sollte ihnen ...								
1	00:14:02.12	INT_AKE	Hm								
1	00:14:04.02	IP_JA	Wir wollten Schularbeiten zusammen machen.								
1	00:14:06.22	IP_JA	Nun ja, ähm, damals war das ja noch so, also Freundinnen, die hielten zusammen, ne.								
1	00:14:15.02	IP_JA	Und dann war das auch kein Problem, wir hatten ja gar nichts anderes.								
1	00:14:18.03	IP_JA	Das war ja tatsächlich so, dass man versuchte, mit zu den Besten ge..., zu gehören, und da hat man sich auch auf den Hosenboden gesetzt, ne.								
1	00:14:25.24	INT_AKE	Hm.								
1	00:14:27.03	INT_AKE	Diese Freundschaften ergaben sich darüber, wer gleich (???) Klasse war?								
1	00:14:29.01	IP_JA	Darüber ... [laut]								
1	00:14:30.00	IP_JA	Aus der sozialen Gegensätzlichkeit kam ich jetzt doch in, in diese gesellschaftlich unterschiedliche Welt hinein, ne.								
1	00:14:40.02	IP_JA	Ja, und mir machte das ...								
1	00:14:40.16	INT_AKE	Aber diese Mädchen, die Sie eingeladen haben, das waren solche, die genauso gut in der Schule waren wie Sie (???)								
1	00:14:44.18	IP_JA	Nein, eben nicht.								
1	00:14:45.18	INT_AKE	Ach so, die wollten sozusagen die Hilfe auch haben, hm								
1	00:14:46.04	IP_JA	[laut] Wir haben ...								
1	00:14:46.20	IP_JA	Ja ja, ja ja.								
1	00:14:47.22	IP_JA	Wir haben zusammen Schularbeiten gemacht.								
1	00:14:49.07	INT_AKE	Hm, ja								
1	00:14:49.10	IP_JA	So wurde das gesagt:								
1	00:14:50.10	IP_JA	„Wir machen zusammen Schularbeiten."								
1	00:14:52.13	IP_JA	Offiziell.								
1	00:14:52.16	INT_AKE	Hm								
1	00:14:54.06	IP_JA	Ja, und für mich war das natürlich, hatte das wesentliche Vorteile – ich wurde dann da zum Kaffee eingeladen, und wenn Geburtstagsparty war, das gab 's ja damals auch schon, und die eine war musisch begabt, die lernte Klavier und Gesang.								
1	00:15:03.12	INT_AKE	Hm								
1	00:15:09.01	IP_JA	So war das wirklich, wirklich schon zirkelmäßig, etwas, was über dem Normalen, über dem Einfachen lag.								
1	00:15:15.20	INT_AKE	Hm, (???)								
1	00:15:16.13	IP_JA	Und das hab ich auch, ähm, ausgekostet und ich glaube auch, dass das mich beeinflusst hat, eben über de... – diesen Rand, der mir sonst nur zugedacht war, hinauszukommen und auch andere Gewohnheiten anzunehmen.								
1	00:15:25.03	INT_AKE	Hm.								
1	00:15:36.12	INT_AKE	Hm								
1	00:15:37.12	IP_JA	Aber jetzt noch 'mal zum Elternhaus zurück.								
1	00:15:41.14	IP_JA	Bereits als Kind gehörte ich der Sozialistischen Kindergruppe an.								
1	00:15:47.05	IP_JA	Ich ging noch nicht in die Schule, und das hatte sich dann erweitert über den, äh, Arbeiter-Schwimm-&Turnverein;								
1	00:15:57.02	INT_AKE	Hm								
1	00:15:57.08	IP_JA	und dann machten wir auch viel Theater, Aufführungen schon im, im Kindesalter, sodass auch kulturell ich doch schon etwas mehr interessiert wurde und auch bereit war, mitzuwirken.								
1	00:16:11.24	INT_AKE	Hm								
1	00:16:14.05	IP_JA	Ja, und dann natürlich, ähm, kam dann 1932/ [kurze Pause] 33.								
1	00:16:25.11	IP_JA	Da war mein Vater endgültig entlassen bei den Deutschen Eisenwerken und stand erst 'mal, äh, vor dem nichts.								
1	00:16:35.01	INT_AKE	Hm.								
1	00:16:36.17	INT_AKE	War ihr Vater in der, in der KPD oder (wie ?)								
1	00:16:38.18	IP_JA	Ja.								
1	00:16:39.05	INT_AKE	Hm								
1	00:16:39.18	IP_JA	Und Metallergewerkschaft, Metallarbeiterverein nann... – -verband nannte der sich damals, ne.								
1	00:16:48.08	IP_JA	Und das war natürlich 'n Grund, dass er eben aufgrund seines Kampfes für die Rechte der Arbeiter bekämpft wurde, und die Folgerung davon war die Entlassung, fristlose Entlassung, und das weiß man ja heute auch, was das heißt, und dann zu damaliger Zeit war 's gewiss doch schlimmer.								
1	00:17:09.03	INT_AKE	Aber das war noch vor der, vor der Machtergreifung (???)								
1	00:17:10.09	IP_JA	32/33.								
1	00:17:12.07	IP_JA	Zwei...								
1	00:17:12.15	IP_JA	Das muss in dem Jahr sein, weil ich ja da von der Schule sollte, war ich ja 14 Jahre alt.								
1	00:17:15.14	INT_AKE	Ach so, hm.								
1	00:17:17.19	INT_AKE	Ja, aber es war noch, es war auf jeden Fall noch vor der Machtergreifung (???)								
1	00:17:19.18	IP_JA	Vor der Macht...								
1	00:17:20.12	IP_JA	Aber es war in dem Zeitraum 32/33, denn 33 war mein Mann, äh, mein Vater, äh, bekam er 'ne Arbeitsstelle bei Küppersbusch, bei der Firma Küppersbusch;								
1	00:17:33.07	INT_AKE	Hm								
1	00:17:33.24	IP_JA	und zwar, äh, das kennzeichnet ja schon, dass man meinen, meinen Vater politisch, äh, vielleicht nicht maßregeln konnte aufgrund auch – wir sagen das heute so, wir können 's ja nicht nachweisen –, aufgrund seiner Invalidität, also der Behinderung für ’s Bein, dann hat man ihn nicht so auf diese Art verfolgt, dass man ihn irgendwo dingfest gemacht hat, sondern er bekam unterbezahlte Arbeit und schlechte Arbeit, die für seinen körperlichen Zustand unausstehlich war.								
1	00:18:09.05	INT_AKE	Hm								
1	00:18:10.00	IP_JA	Er arbeitete dann an der Blechschneidemasch... -maschine bei Küppersbusch und dadurch dass er ja unterschenkelamputiert war und dann auch die große, schwere Prothese trug, muss man sich das vorstellen, jetzt an so 'ner Blechschneidemaschine stehen zehn Stunden, ich glaub', damals waren es schon zehn Stunden.								
1	00:18:29.12	INT_AKE	Hm								
1	00:18:32.04	IP_JA	Dann ver... verbildete sich die Wirbelsäule, und das waren dann nachher die Schäden, die ja dann auch blieben, ne.								
1	00:18:39.23	INT_AKE	Hm								
1	00:18:42.11	IP_JA	Also 1933 tauchte dann die Frage auf, jetzt Schulabgang, 'ne Lehrstelle suchen, da ja die finanzielle Sache nicht mehr gegeben war.								
1	00:18:54.21	IP_JA	Meine Geschwister waren ja nun auch herangewachsen.								
1	00:18:58.10	INT_AKE	Sind Ihre Geschwister auf der Volksschule geblieben oder sind die auch (???)								
1	00:19:01.02	IP_JA	Die, äh, die Freie Schule wurde ja geschlossen, und die wurden dann in eine konfess... konfessionelle Schule, in eine katholische Schule übernommen.								
1	00:19:10.18	INT_AKE	Hm								
1	00:19:12.16	IP_JA	Getauft waren wir ja, wir hatten nur nicht am Religionsunterricht teilgenommen.								
1	00:19:16.16	INT_AKE	Hm								
1	00:19:17.08	IP_JA	Also wurden die drei jetzt in die Katholische Schule übernommen, gingen auch im Jahr drauf alle drei zur Erstkommunion.								
1	00:19:26.06	INT_AKE	Hm								
1	00:19:28.13	IP_JA	Eingekleidet wurden sie von der Kirche, weil das ja an, an – für uns gar nicht drin war.								
1	00:19:36.08	IP_JA	Ja, und nun wieder zurück zu mir:								
1	00:19:39.00	IP_JA	Ich sollte dann eben die Schule verlassen, und der Schuldirektor hat dann mit meinem Vater gesprochen, und mein Vater hat ihm die Lage klar gemacht;								
1	00:19:53.00	IP_JA	und der Direktor hat dann von sich aus Schritte unternommen [kurze Pause] bei der Stadt oder wie das damals war, ob da auch schon irgend... Regierung für, für verantwortlich war;								
1	00:20:05.03	IP_JA	jedenfalls erwirkte er die Schulgeldfreiheit für mich und Lehrgeldfreiheit, sodass ich die Schule weiterhin besuchen konnte bis zum Einjährigen.								
1	00:20:11.23	INT_AKE	Hm.								
1	00:20:13.18	INT_AKE	Hm.								
1	00:20:15.24	INT_AKE	Das war aber dann schon nach 33 (???)								
1	00:20:17.17	IP_JA	Bis 35 – bin 35 aus der Schule entlassen, ja.								
1	00:20:20.02	INT_AKE	Erstaunlich, ne?								
1	00:20:24.05	IP_JA	Aber in der Schule vollzog sich auch folgender Wandel.								
1	00:20:27.07	IP_JA	Das war wiederum eine Folge dessen, dass ich vielleicht bleiben konnte, ich musste am Religionsunt... -unterricht teilnehmen.								
1	00:20:36.22	INT_AKE	Und das war vorher noch möglich, darauf zu verzichten, oder?								
1	00:20:39.20	IP_JA	Vorher nicht, nicht.								
1	00:20:41.13	IP_JA	Aber von da ab.								
1	00:20:43.00	IP_JA	Ich bekam dann Katchumenunterricht und ging dann [kurze Pause] mit 15 zur Erstkommunion.								
1	00:20:54.05	IP_JA	Also das war vielleicht ein Preis.								
1	00:20:56.18	INT_AKE	(???)								
1	00:20:57.17	IP_JA	Ja.								
1	00:20:58.02	INT_AKE	Hm [kurze Pause]								
1	00:21:01.10	IP_JA	Ja, und ich absolvierte dann die Schule normal mit 16 Jahren.								
1	00:21:07.22	INT_AKE	Hm								
1	00:21:09.17	IP_JA	Und die Religionslehrerin hatte sich für mich verwendet.								
1	00:21:14.14	IP_JA	Mein Z..., äh, Berufsziel war staatlich geprüfte Kinderpflegerin.								
1	00:21:19.14	INT_AKE	Hm								
1	00:21:22.05	IP_JA	Und ich war ja erst 16 Jahre alt, und man konnte erst mit dem, mit der Ausbildung beginnen mit 18.								
1	00:21:29.21	INT_AKE	Hm								
1	00:21:31.10	IP_JA	Und so hat Fräulein Gerbracht, so hieß die Lehrerin, hat sich dann im Marienhospital Hagen in Westfalen für mich verwendet, und ich bekam da eine, 'ne Stelle als Lehrköchin in der Krankenhausküche.						21895818		
1	00:21:45.20	INT_AKE	Hm, also direkt nach der Schulentlassung?								
1	00:21:47.19	IP_JA	Direkt am ersten April musst' ich da anfangen.								
1	00:21:50.07	INT_AKE	Hm								
1	00:21:51.20	IP_JA	Und, äh, auch bei der Beschaffung all der Dinge, die ich da mitbringen musste – Hauskleider und Kopftücher, und was ja Vorschrift war, ne.								
1	00:22:00.10	INT_AKE	Hm								
1	00:22:01.05	IP_JA	Anderthalb Jahre sollte diese Ausbildung sein. [kurze Pause]								
1	00:22:07.22	IP_JA	Und, [kurze Pause] also an Taschengeld und so weiter bekam man nichts.								
1	00:22:14.01	INT_AKE	Hm								
